Id,title,time,content,replay,all_replay,time,label
334,蝴蝶效应啊，国家队就不能伸出援手吗,2018/6/22 9:34,蝴蝶效应啊，国家队就不能伸出援手吗,（2）,"
                            救不起呀
                            77777777恭喜你来创造股灾2600的新低，破净资产真好77777777777",2018-06-22  09:45:00,0
341,根据港股跌幅计算，中兴通讯今天明天必开板。,2018/6/22 9:42,根据港股跌幅计算，中兴通讯今天明天必开板。,（3）,"
                            看看还有多少封单，别忽悠了，融资盘爆仓就够喝一壶的
                            明天你交易个给我看看
                            这票肯定10元以下才能开板，别忽悠我们这些小散了。",2018-06-22  09:47:31,0
344,博傻开始,2018/6/22 9:35,今天半仓，明天低开全仓,（25）,"
                            今天打不开吧？这么大的压单
                            买少了，多买点，很多人都等着解脱呢
                            不要全仓跌了你没钱加了
                            
                            钱多多，无语了
                            快买，哈比
                            牛逼
                            开板后 要再腰折的票， 这么急着进去干什么？
                            模拟盘牛逼什么
                            模拟单
                            我买了145手，正考虑追加，对不起收了各位带血的筹码
                            已买入20000股
                            快买，哈比
                            确实超跌拉，港股都上来了
                            你真的买早了，说多了你会不高兴
                            你真的买早了，说多了你会不高兴
                            不早了
                            东财模拟盘，就你牛逼！
                            模拟盘，装什么逼
                            楼主要买也是看到几十万手大买单出现就必定要开板，到时在买也不迟啊，
                            下星期2买最好，如果休息两天不出坏消息，星期2开板
                            动作大了一点，一个1千一千的买。可以以h股作为参考。
                            sb 模拟盘
                            模拟盘装逼遭雷劈
                            你给买完，你有本事打开跌停板",2018-06-22  09:40:28,0
345,窒息,2018/6/22 11:58,110万资金惨遭七连跌的杀戮，只剩下51万，赤裸裸的屠杀,（2）,"
                            能剩1万算你牛！
                            才60万，我都675万了",2018-06-22  15:38:35,0
346,亏大了一一一被平仓一一一也平不掉,2018/6/22 12:46,000063：5万自己的加5万荣资的，现在都是卷商的还卖不掉，还在吹我加钱吖,（3）,"
                            偷鸡不成蚀把米啊，你想着赚更多钱，同样亏起来钱也是更多。
                            
                            你玩过融资吗？完全驴唇不对马嘴",2018-06-22  12:59:25,0
347,我资金不多只有几百W 如果能跌到1亿股本之下我们能不能联系几个小户集体举牌，我们做控股股东只要几仟万资金即可,2018/6/19 17:07,我资金不多只有几百W 如果能跌到1亿股本之下我们能不能联系几个小户集体举牌，我们做控股股东只要几仟万资金即可,（9）,"
                            完全可以，不过8万职工工资你给发呀
                            买过来，有毛用？
                            如果退市呢
                            买过来干啥，生产皮鞋吗
                            还有美国的罚款你来交，没事就一百来亿而已
                            连续涨停才能停牌
                            胸大无脑
                            怕啥子呢，到时我们控股先把资产转移了。你想想，深圳一座楼都值10几亿吧
                            怕啥子呢，到时我们控股先把资产转移了。你想想，深圳一座楼都值10几亿吧",2018-06-19  17:23:05,0
348,星期一开板了，不用跑了，已经打残了，没有力气跑了。,2018/6/22 15:50,星期一开板了，不用跑了，已经打残了，没有力气跑了。,（1）,"
                            按照今年TCL集团股东大会通过的第一期股东计划，6个月之内要完成，总额高达2亿8驰援入场。大家顶上去，赶紧抄底吧，发财机会到了。",2018-06-22  15:52:55,0
349,大家看看能不能卖出去吧，基本没戏就是了，前面的散户都没几个，说不定还是主力的分单,2018/6/22 10:21,大家看看能不能卖出去吧，基本没戏就是了，前面的散户都没几个，说不定还是主力的分单,（2）,"
                            软件要付费吗？
                            这个功能要钱的",2018-06-22  10:31:38,0
350,预计000063最晚下周二12.66以下12.13打开跌停板？,2018/6/22 15:56,除非000063事件继续恶化，我没有此股，苦难兄弟姐妹你们受苦了。,（2）,"
                            预计000063最晚下周二12.66以下12.13打开跌停板？除非000063事件继续恶化，我没有此股，苦难兄弟姐妹你们受苦了。
                            下周一大盘震荡是大概率，周二芯片等科技股启动大涨000063打开跌停板概率非常大。",2018-06-22  16:06:46,0
351,从赚六万到亏八万，心碎……问题还不在这，问题是亏多少才算是头啊？,2018/6/22 12:21,从赚六万到亏八万，心碎……问题还不在这，问题是亏多少才算是头啊？,（11）,"
                            你不到一万股，24左右的本。
                            亏到你血本无归就算到头了
                            赚6万都不卖?有点贪
                            贪的人何止是他一个人，经历过2015年的都是心存贪念的人
                            下周3、4开板
                            太贪，不懂止损
                            估计下周二才开板
                            太贪的下场
                            5600股，大约29.28元
                            股本16.4万
                            天天板止个妹啊，怎么止啊，",2018-06-22  12:33:15,0
